id,title,issuer,doc_date,doc_type,doc_type_code,doc_number,topic_primary,topic_secondary,level,province,summary,binding_phrases,evidence_url,evidence_strength
POL-001,企业国有资产交易操作规则,国务院国资委（产权局）,2025-03-03,正式规范性文件,A,修订印发（原资发产权[2009]120号）,风险防范,产权管理,中央,,修订完善企业国有资产交易操作规范，新增国有企业增资及实物资产转让流程，优化交易周期、降低交易成本，明确关联人回避/名称字号使用/保密义务/档案留存等要求。,应当;不得;明确;细化;缩短,http://www.sasac.gov.cn/n2588035/n2588320/n2588335/c32955553/content.html,S1-正式令文全文公开
POL-002,中央企业发展规划管理办法,国务院国资委（规划局）,2025-06-06,正式规范性文件,A,国务院国资委令第45号,主责主业管理,内部控制,中央,,首次以制度形式建立三级规划体系（总体发展规划+重点任务规划+企业规划），强调聚焦主责主业、产业优化调整，规划执行纳入考核分配与监督追责，董事长为第一责任人。6章39条。,首次;应当;第一责任人;偏离…追究;刚性约束,http://www.sasac.gov.cn/n2588035/n2588320/n2588335/c33689673/content.html,S1-正式令文全文公开
POL-003,关于新时代中央企业高质量推进品牌建设的意见,国务院国资委（社会责任局）,2025-07-04,通知/方案,B,,主责主业管理,,中央,,指导中央企业推进品牌战略与发展战略一体部署，强调六个全面任务（品牌战略/目标/过程/资产/国际化/组织保障管理），将品牌建设纳入监督考核。,应当;完善;监督考核,http://www.sasac.gov.cn/n2588035/n2588320/n2588340/c33899498/content.html,S1-正式文件解读全文公开
POL-004,中央企业应急管理办法（征求意见稿）,国务院国资委,2025-11-12,通知/方案,B,征求意见稿,风险防范,内部控制,中央,,面向社会公开征求意见，拟规范中央企业应急管理体系建设，属起草阶段。,征求意见;拟,http://www.sasac.gov.cn/n2588035/n2588320/n2588335/c34873055/content.html,S2-征求意见稿（尚未生效）
POL-005,中央企业违规经营投资责任追究实施办法,国务院国资委（监督追责局）,2025-12-18,正式规范性文件,A,国务院国资委令第46号,风险防范,内部控制;金融业务管理;主责主业管理,中央,,替代试行版（37号令），8章91条，13方面98种追责情形。新增：主责主业偏离(7.3)、内控体系缺陷(7.4)、多层架构规避监管(7.5)、融资性贸易(7.8)、金融业务6种情形(11条)、科技创新5种情形(12条)。资产损失分三档：一般(<500万)、较大(500万-5000万)、重大(>=5000万)。明确容错免责6种情形(36条)与从重处理7种情形(44条)。自2026年1月1日施行。,应当;不得;未履行;自…施行;终身问责;禁入限制,http://www.sasac.gov.cn/n2588035/n2588320/n2588335/c35128064/content.html,S1-正式令文全文公开（91条完整文本）
POL-006,国有企业领导人员廉洁从业规定（新修订）,中共中央办公厅、国务院办公厅,2026-03-23,正式规范性文件,A,中央两办印发,风险防范,内部控制,中央,,全面修订2009年版，适用范围扩大至国有全资企业和实际控制企业，聚焦关键少数（3类领导人员），强调对并购重组/产权交易/招标投标等关键环节加大监督，严查靠企吃企/设租寻租/利益输送。完善经济责任信息报告制度。,不得;应当;严肃处理;依法追究刑事责任;解任;解聘,http://www.sasac.gov.cn/n2588025/n2588119/c35382734/content.html,S1-答记者问全文公开（原文由中央两办印发）
POL-007,关于推动中央企业加快财务数智化转型升级的指导意见,国务院国资委（财管运行局）,2026-03-25,通知/方案,B,,司库体系建设,内部控制,中央,,五大升级方向：财务管理体系化、财务系统集成化、财务信息数字化、财务监督智能化、财务转型一体化。目标建成全经营领域的数字化资源管理平台（DRP系统），充分应用大数据/大模型/人工智能等新技术推动穿透监管。,应用大数据/大模型/AI;五大升级方向;穿透监管;DRP,http://www.sasac.gov.cn/n2588025/n2643314/c35387473/content.html,S3-新闻通稿引用文件名（全文未公开）
POL-008,黑龙江省国资委2025年度制度建设成果（35项）,黑龙江省国资委,2025-12-31,通知/方案,B,省级系列文件,内部控制,风险防范,省级,黑龙江,2025年累计出台35项制度文件，含：省国资委监管企业法律纠纷案件管理实施办法、关于加强出资企业内部审计监督工作的实施意见、省国资委监管企业违规经营投资责任追究实施办法、省国资委出资企业审计问题整改标准指引(1.0版)。首次集中宣讲会（360余人）。建立立改废动态调整机制。,实施办法;实施意见;指引;立改废;闭环管控,http://www.sasac.gov.cn/n2588025/n2588129/c35387101/content.html,S3-新闻通稿（省级制度全文未公开）
POL-009,国务院国资委召开中央企业法治工作会议,国务院国资委,2026-04-01,工作要点,C,,内部控制,风险防范,中央,,2026年4月1日召开中央企业法治工作会议，部署法治建设与合规管理工作。,部署;会议,http://www.sasac.gov.cn/n2588025/n2643314/c35392672/content.html,S4-标题可见但正文未获取
POL-010,浙江省2026年国资国企党风廉政建设和反腐败工作会议暨中央巡视反馈国企问题整改推进会,浙江省国资委,2026-03-16,工作要点,C,,风险防范,内部控制,省级,浙江,副省长张雁云出席并讲话，部署2026年党风廉政建设与中央巡视整改。,部署;整改;讲话,https://gzw.zj.gov.cn/col/col1229430728/art/2026/art_95d768027391415bbb62b4d06b889d4d.html,S3-新闻通稿（省级，详情页未获取）
POL-011,福建省国资委实施五大行动推动所出资企业向新向优发展,福建省国资委,2026-03-27,工作要点,C,,主责主业管理,,省级,福建,福建省国资委部署五大行动推动向新向优发展，具体内容涉及主责主业聚焦等。,行动;推动,http://www.sasac.gov.cn/n2588025/n2588129/c35387981/content.html,S3-新闻通稿
POL-012,宁波市国资委部署三提行动推动国资国企高质量发展,宁波市国资委,2026-04-01,工作要点,C,,主责主业管理,,地级市,浙江,宁波市国资委部署三提行动（提质/提速/提效），推动国资国企高质量发展。,行动;部署,http://www.sasac.gov.cn/n2588025/n2588129/c35391405/content.html,S3-新闻通稿
